n,k,criterio,p,disponibilidade
1,1,k=n,0.7,0.7
1,1,k=n,0.85,0.85
1,1,k=n,0.95,0.95
1,1,k=n,0.99,0.99
2,1,k=n/2,0.7,0.91
2,1,k=n/2,0.85,0.9775
2,1,k=n/2,0.95,0.9975
2,1,k=n/2,0.99,0.9999
2,2,k=n,0.7,0.49
2,2,k=n,0.85,0.7225
2,2,k=n,0.95,0.9025
2,2,k=n,0.99,0.9801
3,1,k=n/2,0.7,0.973
3,1,k=n/2,0.85,0.996625
3,1,k=n/2,0.95,0.999875
3,1,k=n/2,0.99,0.999999
3,3,k=n,0.7,0.343
3,3,k=n,0.85,0.614125
3,3,k=n,0.95,0.857375
3,3,k=n,0.99,0.970299
5,1,k=1,0.7,0.99757
5,1,k=1,0.85,0.999924
5,1,k=1,0.95,1.0
5,1,k=1,0.99,1.0
5,2,k=n/2,0.7,0.96922
5,2,k=n/2,0.85,0.997772
5,2,k=n/2,0.95,0.99997
5,2,k=n/2,0.99,1.0
5,5,k=n,0.7,0.16807
5,5,k=n,0.85,0.443705
5,5,k=n,0.95,0.773781
5,5,k=n,0.99,0.95099
10,1,k=1,0.7,0.999994
10,1,k=1,0.85,1.0
10,1,k=1,0.95,1.0
10,1,k=1,0.99,1.0
10,5,k=n/2,0.7,0.952651
10,5,k=n/2,0.85,0.998617
10,5,k=n/2,0.95,0.999997
10,5,k=n/2,0.99,1.0
10,10,k=n,0.7,0.028248
10,10,k=n,0.85,0.196874
10,10,k=n,0.95,0.598737
10,10,k=n,0.99,0.904382
